no,KOTA KABUPATEN,PROVINSI
1,Aceh Barat,NAD Aceh
2,Aceh Barat Daya,NAD Aceh
3,Aceh Besar,NAD Aceh
4,Aceh Jaya,NAD Aceh
5,Aceh Selatan,NAD Aceh
6,Aceh Singkil,NAD Aceh
7,Aceh Tamiang,NAD Aceh
8,Aceh Tengah,NAD Aceh
9,Aceh Tenggara,NAD Aceh
10,Aceh Timur,NAD Aceh
11,Aceh Utara,NAD Aceh
12,Bener Meriah,NAD Aceh
13,Bireuen,NAD Aceh
14,Gayo Lues,NAD Aceh
15,Nagan Raya,NAD Aceh
16,Pidie,NAD Aceh
17,Pidie Jaya,NAD Aceh
18,Simeulue,NAD Aceh
19,Banda Aceh,NAD Aceh
20,Langsa,NAD Aceh
21,Lhokseumawe,NAD Aceh
22,Sabang,NAD Aceh
23,Subulussalam,NAD Aceh
24,Asahan,Sumatera Utara (SUMUT)
25,Batubara,Sumatera Utara (SUMUT)
26,Dairi,Sumatera Utara (SUMUT)
27,Deli Serdang,Sumatera Utara (SUMUT)
28,Humbang Hasundutan,Sumatera Utara (SUMUT)
29,Karo,Sumatera Utara (SUMUT)
30,Labuhanbatu,Sumatera Utara (SUMUT)
31,Labuhanbatu Selatan,Sumatera Utara (SUMUT)
32,Labuhanbatu Utara,Sumatera Utara (SUMUT)
33,Langkat,Sumatera Utara (SUMUT)
34,Mandailing Natal,Sumatera Utara (SUMUT)
35,Nias,Sumatera Utara (SUMUT)
36,Nias Barat,Sumatera Utara (SUMUT)
37,Nias Selatan,Sumatera Utara (SUMUT)
38,Nias Utara,Sumatera Utara (SUMUT)
39,Padang Lawas,Sumatera Utara (SUMUT)
40,Padang Lawas Utara,Sumatera Utara (SUMUT)
41,Pakpak Bharat,Sumatera Utara (SUMUT)
42,Samosir,Sumatera Utara (SUMUT)
43,Serdang Bedagai,Sumatera Utara (SUMUT)
44,Simalungun,Sumatera Utara (SUMUT)
45,Tapanuli Selatan,Sumatera Utara (SUMUT)
46,Tapanuli Tengah,Sumatera Utara (SUMUT)
47,Tapanuli Utara,Sumatera Utara (SUMUT)
48,Toba Samosir,Sumatera Utara (SUMUT)
49,Binjai,Sumatera Utara (SUMUT)
50,Gunungsitoli,Sumatera Utara (SUMUT)
51,Medan,Sumatera Utara (SUMUT)
52,Padangsidempuan,Sumatera Utara (SUMUT)
53,Pematangsiantar,Sumatera Utara (SUMUT)
54,Sibolga,Sumatera Utara (SUMUT)
55,Tanjungbalai,Sumatera Utara (SUMUT)
56,Tebing Tinggi,Sumatera Utara (SUMUT)
57,Agam,Sumatera Barat (SUMBAR)
58,Dharmasraya,Sumatera Barat (SUMBAR)
59,Kepulauan Mentawai,Sumatera Barat (SUMBAR)
60,Lima Puluh Kota,Sumatera Barat (SUMBAR)
61,Padang Pariaman,Sumatera Barat (SUMBAR)
62,Pasaman,Sumatera Barat (SUMBAR)
63,Pasaman Barat,Sumatera Barat (SUMBAR)
64,Pesisir Selatan,Sumatera Barat (SUMBAR)
65,Sijunjung,Sumatera Barat (SUMBAR)
66,Solok,Sumatera Barat (SUMBAR)
67,Solok Selatan,Sumatera Barat (SUMBAR)
68,Tanah Datar,Sumatera Barat (SUMBAR)
69,Bukittinggi,Sumatera Barat (SUMBAR)
70,Padang,Sumatera Barat (SUMBAR)
71,Padangpanjang,Sumatera Barat (SUMBAR)
72,Pariaman,Sumatera Barat (SUMBAR)
73,Payakumbuh,Sumatera Barat (SUMBAR)
74,Sawahlunto,Sumatera Barat (SUMBAR)
75,Solok,Sumatera Barat (SUMBAR)
76,Banyuasin,Sumatera Selatan (SUMSEL)
77,Empat Lawang,Sumatera Selatan (SUMSEL)
78,Lahat,Sumatera Selatan (SUMSEL)
79,Muara Enim,Sumatera Selatan (SUMSEL)
80,Musi Banyuasin,Sumatera Selatan (SUMSEL)
81,Musi Rawas,Sumatera Selatan (SUMSEL)
82,Musi Rawas Utara,Sumatera Selatan (SUMSEL)
83,Ogan Ilir,Sumatera Selatan (SUMSEL)
84,Ogan Komering Ilir,Sumatera Selatan (SUMSEL)
85,Ogan Komering Ulu,Sumatera Selatan (SUMSEL)
86,Ogan Komering Ulu,Sumatera Selatan (SUMSEL)
87,Ogan Komering Ulu,Sumatera Selatan (SUMSEL)
88,Penukal Abab Lematang,Sumatera Selatan (SUMSEL)
89,Lubuklinggau,Sumatera Selatan (SUMSEL)
90,Pagar Alam,Sumatera Selatan (SUMSEL)
91,Palembang,Sumatera Selatan (SUMSEL)
92,Prabumulih,Sumatera Selatan (SUMSEL)
93,Bengkalis,Riau
94,Indragiri Hilir,Riau
95,Indragiri Hulu,Riau
96,Kampar,Riau
97,Kepulauan Meranti,Riau
98,Kuantan Singingi,Riau
99,Pelalawan,Riau
100,Rokan Hilir,Riau
101,Rokan Hulu,Riau
102,Siak,Riau
103,Dumai,Riau
104,Pekanbaru,Riau
105,Bintan,Kepulauan Riau (KEPRI)
106,Karimun,Kepulauan Riau (KEPRI)
107,Kepulauan Anambas,Kepulauan Riau (KEPRI)
108,Lingga,Kepulauan Riau (KEPRI)
109,Natuna,Kepulauan Riau (KEPRI)
110,Batam,Kepulauan Riau (KEPRI)
111,Tanjung Pinang,Kepulauan Riau (KEPRI)
112,Batanghari,Jambi
113,Bungo,Jambi
114,Kerinci,Jambi
115,Merangin,Jambi
116,Muaro Jambi,Jambi
117,Sarolangun,Jambi
118,Tanjung Jabung Barat,Jambi
119,Tanjung Jabung Timur,Jambi
120,Tebo,Jambi
121,Jambi,Jambi
122,Sungai Penuh,Jambi
